"","Year_Birth","Education","Kidhome","Teenhome","Recency","MntWines","MntFruits","MntMeatProducts","MntFishProducts","MntSweetProducts","MntGoldProds","NumDealsPurchases","NumWebPurchases","NumCatalogPurchases","NumStorePurchases","NumWebVisitsMonth","AcceptedCmp3","AcceptedCmp4","AcceptedCmp5","AcceptedCmp1","AcceptedCmp2","Complain","Response"
"78",1969,"Graduation",0,2,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,0
"79",1978,"Graduation",1,0,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,0
"80",1960,"Master",0,0,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,0
"81",1979,"Graduation",0,1,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,0
"82",1991,"PhD",0,0,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,1
"83",1991,"Graduation",0,0,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,1
"84",1980,"PhD",1,0,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,0
"85",1962,"Graduation",1,1,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,0
"86",1970,"Graduation",0,0,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,0
"87",1967,"2n Cycle",1,1,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,0
"88",1969,"Graduation",1,0,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,0
"89",1953,"Master",0,1,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,0
"90",1967,"Master",1,0,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,1
"91",1985,"Master",2,0,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,0
"92",1976,"Graduation",1,0,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,0
"93",1983,"Graduation",0,0,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,1
"94",1965,"2n Cycle",0,0,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,0
"95",1953,"Master",1,1,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,0
"97",1956,"PhD",1,1,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,0
"98",1958,"Master",1,1,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,0
"99",1969,"Graduation",0,0,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,0
"100",1964,"PhD",1,1,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,0
"101",1967,"PhD",0,0,21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,0
"102",1976,"Basic",1,0,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,0
"103",1973,"PhD",1,1,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,1
"104",1992,"Master",0,0,46,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,0
"105",1976,"Master",0,1,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,1
"106",1962,"Graduation",0,0,73,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,0
"107",1974,"PhD",0,1,47,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0,0
"108",1988,"Graduation",1,0,13,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,0
"109",1976,"Graduation",0,2,36,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,0
"110",1975,"Graduation",1,0,47,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,0,1
"111",1981,"Graduation",1,0,49,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,1,0
"112",1973,"2n Cycle",2,1,94,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0,0
"113",1966,"Master",0,0,65,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,0,0
"114",1953,"Master",0,2,59,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,0
"115",1969,"Graduation",0,1,96,346,17,48,23,13,13,4,8,1,6,6,0,1,0,0,0,0,0
"116",1972,"2n Cycle",0,1,28,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,0,0
"117",1952,"PhD",0,1,57,888,0,57,0,0,76,2,8,5,11,5,0,0,0,0,0,0,0
"118",1958,"Graduation",0,1,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,0
"119",1978,"Graduation",1,2,49,8,1,7,2,0,0,1,0,0,3,4,0,0,0,0,0,0,0
"120",1977,"Graduation",0,1,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,0
"121",1958,"Master",2,1,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,0
"122",1975,"PhD",0,0,9,1001,12,240,16,12,12,1,5,4,10,2,0,0,0,0,0,0,0
"123",1966,"Graduation",2,1,83,18,1,32,6,3,28,3,2,0,4,6,0,0,0,0,0,0,0
"124",1953,"Graduation",0,0,27,125,16,98,134,21,27,1,6,7,4,3,1,0,0,0,0,0,0
"125",1959,"Graduation",0,0,63,212,5,33,7,0,2,1,3,2,6,4,0,1,0,0,0,0,0
"126",1988,"Graduation",0,0,46,277,162,305,173,76,124,1,3,4,7,1,0,0,0,0,0,0,0
"127",1957,"Graduation",1,1,84,15,10,19,8,17,20,3,2,1,3,5,0,0,0,0,0,0,0
"128",1965,"Graduation",1,1,58,7,3,10,8,1,7,2,1,0,3,7,0,0,0,0,0,0,0
"129",1982,"Graduation",1,0,78,12,4,6,11,8,16,2,2,0,3,8,0,0,0,0,0,0,0
"130",1970,"Graduation",2,0,4,85,7,24,2,3,27,1,3,1,3,6,0,0,0,0,0,0,0
"131",1959,"PhD",1,1,17,81,0,6,0,0,6,2,2,1,3,5,0,0,0,0,0,0,0
"132",1967,"Graduation",0,1,77,59,0,12,0,0,48,1,2,2,2,4,1,0,0,0,0,0,0
"133",1975,"PhD",0,1,56,1149,71,449,69,71,26,1,11,8,8,5,0,0,0,0,0,0,0
"134",1970,"PhD",1,1,90,29,0,14,0,0,2,2,2,0,3,7,0,0,0,0,0,0,0
"135",1959,"Graduation",2,1,96,2,0,5,2,0,1,1,0,0,3,2,0,0,0,0,0,0,0
"136",1951,"2n Cycle",0,0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0
"137",1976,"PhD",0,1,81,152,3,22,2,5,7,1,4,1,4,5,0,0,0,0,0,0,0
"138",1988,"2n Cycle",1,0,77,12,11,10,3,12,9,3,2,1,3,6,0,0,0,0,0,0,0
"139",1946,"Master",0,0,21,620,26,195,34,17,141,1,6,4,13,2,0,0,0,0,0,0,0
"140",1983,"Graduation",1,0,45,10,1,18,10,4,7,1,1,1,2,9,0,0,0,0,0,0,0
"141",1970,"PhD",0,1,63,35,0,2,0,0,2,2,1,0,4,5,0,0,0,0,0,0,0
"142",1966,"Graduation",0,1,34,356,0,107,19,9,117,2,7,1,8,5,0,0,0,0,0,0,0
"143",1964,"PhD",1,1,13,42,1,18,3,0,4,2,2,0,3,7,0,0,0,0,0,0,0
"144",1978,"Basic",1,0,52,1,4,10,29,0,36,1,1,1,2,6,1,0,0,0,0,0,0
"145",1900,"2n Cycle",1,0,99,15,6,8,7,4,25,1,2,1,2,5,0,0,0,0,0,1,0
"146",1988,"Graduation",1,0,93,23,3,21,3,19,22,2,3,0,3,8,0,0,0,0,0,0,0
"147",1973,"Graduation",1,1,38,235,6,45,8,9,12,4,5,1,6,6,0,0,0,0,0,0,0
"148",1977,"Graduation",1,1,24,10,0,10,3,1,7,2,1,1,2,8,0,0,0,0,0,0,0
"149",1980,"Master",0,0,80,656,16,106,32,16,8,1,7,3,12,3,0,0,0,0,0,0,0
"150",1954,"Graduation",0,0,82,519,17,813,27,173,51,1,4,6,6,2,0,0,1,0,0,0,0
"151",1954,"Graduation",0,0,20,344,189,482,50,33,172,1,5,6,5,2,0,0,0,0,0,0,0
"152",1952,"Graduation",0,1,50,448,4,34,6,4,39,3,8,1,7,5,0,1,0,0,0,0,0
"153",1968,"Graduation",0,0,60,265,138,553,224,23,92,1,4,4,9,1,0,0,0,0,0,0,0
"154",1978,"Graduation",0,1,63,587,43,337,42,87,54,3,11,6,9,6,0,0,0,0,0,0,0
"155",1977,"PhD",0,0,54,763,29,138,76,176,58,0,7,9,10,4,0,1,1,1,0,0,1
"156",1965,"PhD",1,1,72,22,0,13,0,0,3,2,1,0,3,7,0,0,0,0,0,0,0
"157",1963,"Master",1,1,50,81,18,113,47,13,21,6,4,2,5,6,0,0,0,0,0,0,0
"158",1966,"Graduation",0,1,99,54,0,7,0,0,4,1,2,0,3,6,0,0,0,0,0,0,0
"159",1954,"Graduation",0,1,17,1170,48,320,42,32,192,5,11,4,9,8,1,0,0,0,0,0,1
"160",1956,"Graduation",0,1,11,72,24,68,65,4,8,5,3,1,6,4,0,0,0,0,0,0,0
"161",1954,"Graduation",0,0,18,613,22,319,33,102,12,1,4,6,9,1,0,0,0,0,0,0,0
"162",1968,"PhD",1,1,70,224,0,30,0,0,10,8,5,1,5,8,0,0,0,0,0,0,0
"163",1974,"Master",1,1,21,410,0,59,19,9,44,10,7,1,8,7,0,0,0,0,0,0,0
"164",1985,"Graduation",0,0,66,239,10,554,254,87,54,1,3,4,9,1,0,0,0,0,0,0,0
"165",1978,"2n Cycle",2,1,2,12,0,4,0,0,1,1,1,0,2,8,0,0,0,0,0,0,0
"166",1948,"Master",0,0,81,1076,16,417,42,48,16,1,8,10,6,3,0,1,1,0,0,0,0
"167",1954,"Master",0,1,24,182,4,33,0,0,66,2,4,1,5,7,0,0,0,0,0,0,0
"168",1980,"Graduation",1,0,48,824,32,162,42,32,43,2,11,4,11,6,0,0,0,0,0,0,0
"169",1988,"2n Cycle",1,0,93,30,11,25,29,1,18,1,1,1,4,3,0,0,0,0,0,0,0
"170",1969,"Graduation",0,0,56,377,10,540,80,30,10,1,3,5,7,1,0,0,0,0,0,0,0
"171",1970,"PhD",0,2,3,520,7,154,19,0,14,2,6,3,11,3,0,0,0,0,0,0,0
"172",1980,"PhD",1,0,44,155,1,25,0,1,3,4,4,1,4,8,0,0,0,0,0,0,0
"173",1962,"Graduation",0,1,38,897,23,207,15,11,92,5,9,6,12,6,0,0,0,0,0,0,0
"174",1976,"Graduation",0,1,84,297,7,79,0,11,182,2,8,2,4,8,0,0,0,0,0,0,0
"175",1952,"Graduation",0,1,27,787,20,204,0,0,92,3,2,2,11,8,0,0,0,0,0,0,0
"176",1986,"PhD",1,0,66,4,1,9,3,0,0,1,1,0,2,8,0,0,0,0,0,0,0
"177",1966,"Graduation",1,1,30,231,7,137,4,15,39,9,5,1,8,7,0,0,0,0,0,0,1
"178",1962,"2n Cycle",0,1,2,983,76,184,180,138,27,1,6,3,4,7,0,0,1,0,0,0,0
"179",1951,"Graduation",0,0,37,0,4,5,6,0,4,1,1,0,3,3,0,0,0,0,0,0,0
"180",1965,"PhD",0,1,89,562,21,464,28,10,32,3,7,8,11,5,0,0,0,0,0,0,0
"181",1975,"2n Cycle",1,0,49,5,9,20,6,8,21,2,2,0,4,6,0,0,0,0,0,0,0
"182",1982,"Master",1,0,46,18,0,4,0,0,1,1,1,0,3,7,0,0,0,0,0,0,0
"183",1973,"Graduation",1,0,54,5,3,10,12,7,20,4,3,1,3,7,0,0,0,0,0,0,0
"184",1893,"2n Cycle",0,1,23,8,0,5,7,0,2,1,1,0,2,4,0,0,0,0,0,0,0
"185",1968,"Graduation",0,0,98,901,61,757,186,163,20,1,6,5,10,3,0,1,0,0,0,0,0
"186",1958,"Graduation",0,1,97,382,114,276,75,124,38,2,6,4,4,3,0,0,0,0,0,0,0
"187",1971,"Graduation",1,0,75,14,1,7,2,1,1,1,2,0,2,9,0,0,0,0,0,0,0
"188",1990,"Graduation",0,0,8,559,153,503,218,13,181,1,3,9,9,2,0,0,0,1,0,0,1
"189",1958,"Graduation",0,1,37,789,0,133,0,28,152,7,11,5,8,7,0,0,0,0,0,0,0
"190",1964,"PhD",1,1,31,11,0,5,0,0,1,2,1,0,3,6,0,0,0,0,0,0,0
"191",1972,"Graduation",1,0,40,1218,16,272,104,0,80,2,5,3,6,6,0,1,1,1,0,0,1
"192",1953,"Graduation",0,1,74,925,64,179,133,12,77,2,9,4,6,5,0,0,0,0,0,0,0
"193",1988,"PhD",0,0,90,864,134,768,150,38,172,1,4,10,5,3,0,0,0,0,0,0,0
"194",1985,"Graduation",1,0,52,3,3,7,0,2,11,2,1,0,3,6,0,0,0,0,0,0,0
"195",1974,"Graduation",0,0,5,168,148,444,32,172,148,1,6,9,13,2,0,1,1,1,1,0,1
"196",1958,"2n Cycle",0,0,92,45,47,52,21,20,25,2,3,1,5,6,0,0,0,0,0,0,0
"197",1967,"Graduation",1,1,77,650,28,353,45,42,30,5,4,6,11,8,0,0,0,0,0,0,0
"198",1974,"PhD",1,0,35,24,0,8,0,0,1,2,1,0,3,6,0,0,0,0,0,0,0
"199",1961,"PhD",0,1,48,918,21,118,13,10,21,3,8,3,5,6,0,1,0,0,0,0,0
"200",1964,"Graduation",0,1,97,138,33,87,28,24,12,4,3,2,7,3,0,0,0,0,0,0,0
"201",1964,"Graduation",1,1,95,12,4,2,10,6,10,4,2,0,4,5,0,0,0,0,0,0,0
"202",1957,"PhD",2,1,24,11,0,4,0,0,2,1,1,0,2,8,0,0,0,0,0,0,0
"203",1970,"Master",1,0,85,167,2,62,24,13,7,4,4,1,6,5,0,0,0,0,0,0,0
"204",1952,"Master",1,1,9,177,2,71,3,2,20,6,5,2,4,8,0,0,0,0,0,0,1
"205",1966,"Master",1,1,30,38,4,22,4,2,20,4,3,1,3,7,0,0,0,0,0,0,0
"206",1963,"Graduation",0,0,47,483,84,398,205,84,241,1,3,7,8,1,1,0,0,0,0,0,0
"207",1970,"Graduation",0,0,13,182,74,298,162,149,116,1,3,3,6,1,0,0,0,0,0,0,0
"208",1970,"Graduation",1,0,11,10,7,19,8,2,21,2,2,2,2,6,0,0,0,0,0,0,0
"209",1953,"Graduation",0,0,31,778,44,499,95,73,146,2,3,4,5,7,0,0,0,0,0,0,1
"210",1983,"Master",1,0,15,16,7,23,0,8,6,3,3,0,4,5,0,0,0,0,0,1,0
"211",1975,"PhD",0,1,2,167,0,43,6,2,13,2,4,2,4,5,0,0,0,0,0,0,0
"212",1963,"Graduation",1,1,38,33,6,40,3,7,10,3,2,0,4,7,0,0,0,0,0,0,0
"213",1963,"PhD",0,1,86,625,7,99,10,22,7,2,6,3,12,4,0,0,0,0,0,0,0
"214",1981,"Master",0,0,29,68,129,396,188,22,15,1,3,3,5,1,0,0,0,0,0,0,0
"215",1981,"Basic",1,0,46,4,19,9,28,25,17,3,3,0,4,7,0,0,0,0,0,0,0
"216",1976,"Graduation",0,1,84,297,7,79,0,11,182,2,8,2,4,8,0,0,0,0,0,0,0
"217",1946,"Graduation",0,0,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0
"218",1974,"PhD",0,1,74,204,7,149,20,15,66,1,5,1,8,2,0,0,0,0,0,0,0
"219",1975,"Master",1,1,18,26,0,8,0,0,3,2,2,0,3,5,0,0,0,0,0,0,0
"220",1974,"Graduation",1,0,75,15,6,20,4,5,20,1,3,1,2,7,0,0,0,0,0,0,0
"221",1952,"Graduation",0,0,17,304,98,230,150,74,74,1,6,3,13,3,0,0,0,0,0,0,0
"222",1956,"Master",1,1,88,285,28,242,55,114,135,13,6,2,12,5,0,0,0,0,0,0,0
"223",1949,"Master",0,0,62,248,3,81,4,3,51,3,7,1,5,8,0,0,0,0,0,0,0
"224",1984,"2n Cycle",0,0,11,20,6,5,0,9,12,1,1,0,3,7,1,0,0,0,0,0,0
"225",1969,"Graduation",1,0,74,39,0,56,20,8,14,3,3,1,3,7,0,0,0,0,0,0,0
"226",1980,"Graduation",0,0,32,777,129,573,216,21,203,1,2,7,9,4,0,0,1,0,0,0,0
"227",1971,"Graduation",2,0,76,8,3,22,21,1,13,3,3,0,3,9,0,0,0,0,0,0,0
"228",1965,"Graduation",1,1,6,9,1,3,0,4,8,1,0,0,3,6,0,0,0,0,0,0,0
"229",1952,"Master",0,1,62,1241,0,80,0,13,40,3,3,6,11,8,0,1,0,0,1,0,0
"230",1986,"Master",1,0,43,65,4,16,0,4,11,1,3,0,3,8,0,0,0,0,0,0,0
"231",1965,"PhD",0,1,34,801,0,80,0,0,35,5,8,3,12,5,0,1,0,0,0,0,0
"232",1958,"Graduation",1,1,53,36,0,12,2,2,10,4,3,1,3,5,0,0,0,0,0,0,0
"233",1956,"2n Cycle",0,1,44,513,14,154,19,0,28,1,9,2,9,6,0,0,0,0,0,0,0
"234",1988,"Graduation",1,0,43,80,15,93,20,13,52,3,5,1,4,8,0,0,0,0,0,0,0
"235",1984,"Graduation",1,0,68,14,1,21,2,3,25,3,3,1,3,7,0,0,0,0,0,0,0
"236",1961,"Master",0,0,44,525,147,112,219,147,63,1,6,7,9,2,0,0,0,1,0,0,0
"237",1966,"Graduation",0,0,64,1,26,25,17,23,15,1,3,0,3,9,0,0,0,0,0,0,1
"238",1947,"Graduation",0,0,85,675,11,400,15,45,11,1,2,5,10,1,0,0,1,0,0,0,0
"239",1964,"Master",0,1,93,509,0,27,0,0,10,1,8,3,6,7,0,1,0,0,0,0,0
"240",1976,"Graduation",1,0,86,3,5,14,2,12,17,4,3,1,3,6,0,0,0,0,0,0,0
"242",1976,"Master",0,0,42,768,44,561,77,44,14,1,6,6,10,3,0,0,0,0,0,0,0
"243",1956,"Master",1,1,86,24,0,7,0,0,1,2,2,0,3,5,0,0,0,0,0,0,0
"244",1972,"Graduation",1,1,59,44,4,21,6,0,27,2,3,0,3,7,0,0,0,0,0,0,0
"245",1985,"Graduation",1,0,30,91,64,128,65,3,50,2,4,3,6,3,0,0,0,0,0,0,0
"246",1951,"Graduation",1,1,33,11,0,7,3,1,6,2,1,0,3,5,0,0,0,0,0,0,0
"248",1971,"Graduation",0,1,23,412,5,119,38,29,77,3,3,3,12,2,0,0,0,0,0,0,0
"249",1974,"Graduation",1,0,81,3,3,7,6,2,9,1,1,0,2,7,0,0,0,0,0,0,0
"250",1965,"PhD",1,1,6,16,0,3,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0
"251",1961,"PhD",0,1,41,731,60,353,78,12,73,5,10,3,5,7,0,0,0,0,0,0,0
"252",1953,"Graduation",0,1,78,424,17,118,7,23,41,6,8,2,8,8,0,0,0,0,0,0,0
"253",1957,"Graduation",0,0,49,792,0,275,45,45,126,1,4,8,5,3,0,0,0,0,0,0,0
"254",1976,"PhD",1,0,39,21,2,28,3,2,9,3,2,0,4,8,0,0,0,0,0,0,0
"255",1984,"Graduation",1,0,3,22,1,11,0,1,2,1,1,0,3,7,0,0,0,0,0,0,0
"256",1950,"PhD",2,1,37,33,0,5,0,0,0,1,1,0,3,4,0,0,0,0,0,0,0
"257",1986,"PhD",1,0,22,68,7,59,10,5,11,4,3,1,4,8,0,0,0,0,0,0,0
"258",1983,"Graduation",1,0,79,9,1,6,3,0,4,1,1,0,2,8,0,0,0,0,0,0,0
"259",1989,"PhD",0,0,46,40,2,15,8,0,6,1,1,1,3,4,0,0,0,0,0,0,0
"260",1956,"PhD",0,1,82,909,11,218,0,0,23,2,9,3,5,5,0,0,0,0,0,0,1
